Date,COST,LOW,TGT,WMT
2020-01-02,266.1338195800781,107.47476959228516,106.47150421142578,36.35921096801758
2020-01-03,266.35302734375,106.70746612548828,105.36517333984375,36.03822708129883
2020-01-06,266.42608642578125,107.37661743164062,104.36860656738281,35.96485900878906
2020-01-07,266.00616455078125,106.73423767089844,104.55440521240234,35.631656646728516
2020-01-08,269.05560302734375,108.4294204711914,104.2165756225586,35.50938415527344
2020-01-09,273.3741760253906,108.89335632324219,104.30101776123047,35.87621307373047
2020-01-10,271.3837890625,107.9565658569336,105.33984375,35.576629638671875
2020-01-13,273.7849426269531,108.00115203857422,104.613525390625,35.42377853393555
2020-01-14,273.6753845214844,107.12679290771484,105.78743743896484,35.51549530029297
2020-01-15,274.65240478515625,106.63609313964844,98.81151580810547,35.2403678894043
2020-01-16,276.67010498046875,106.41304016113281,98.23722839355469,35.42990493774414
2020-01-17,278.176513671875,109.16993713378906,98.74394226074219,35.142555236816406
2020-01-21,286.0102233886719,108.38125610351562,96.3116455078125,35.335140228271484
2020-01-22,284.7593994140625,109.25958251953125,96.1934585571289,35.491050720214844
2020-01-23,285.6632995605469,109.97654724121094,97.57003021240234,35.40239715576172
2020-01-24,283.49945068359375,107.75389862060547,96.54813385009766,34.962196350097656
2020-01-27,282.5316467285156,107.33267974853516,97.78116607666016,35.41767501831055
2020-01-28,283.8098449707031,108.57846069335938,97.49403381347656,35.64389419555664
2020-01-29,282.6502685546875,107.92418670654297,96.50589752197266,35.426849365234375
2020-01-30,282.5499267578125,107.29681396484375,96.8437271118164,35.637779235839844
2020-01-31,278.94354248046875,104.17792510986328,93.52467346191406,34.998870849609375
2020-02-03,275.7296447753906,105.02039337158203,95.0195083618164,34.93163299560547
2020-02-04,278.37744140625,106.96521759033203,95.64447021484375,35.2373046875
2020-02-05,282.0751953125,109.45674133300781,97.57003021240234,35.708091735839844
2020-02-06,284.18865966796875,108.90106964111328,97.24065399169922,35.555233001708984
2020-02-07,286.95172119140625,108.8741683959961,97.6375961303711,35.59803771972656
2020-02-10,287.0982666015625,108.63219451904297,98.79460906982422,35.231204986572266
2020-02-11,284.2527160644531,110.26335144042969,98.54969024658203,35.27705383300781
2020-02-12,288.3150329589844,112.05579376220703,99.74895477294922,35.41462326049805
2020-02-13,291.13299560546875,111.82278442382812,99.89253234863281,35.90067672729492
2020-02-14,291.23370361328125,112.40533447265625,98.49903106689453,36.03822708129883
2020-02-18,294.65557861328125,110.44257354736328,100.07882690429688,36.57014083862305
2020-02-19,295.54296875,110.63080596923828,99.70511627197266,35.97404098510742
2020-02-20,296.5127868652344,113.43599700927734,100.44403076171875,35.97710418701172
2020-02-21,294.5639343261719,112.30675506591797,99.38236236572266,36.24916076660156
2020-02-24,286.9426574707031,110.15580749511719,96.63895416259766,35.55830383300781
2020-02-25,278.9368896484375,106.2213363647461,94.88929748535156,34.96831512451172
