date,ticker,monthly_return,target,vix_avg,rate_10y,net_margin,gross_margin,operating_margin,op_margin_change,de_ratio,current_ratio,sentiment_avg,mom_1m,mom_3m,mom_6m,vol_3m,vol_6m,above_ma3,return_accel,pos_streak_3m,vix_lag1,rate_lag1,vix_change,rate_change,vix_ma3,vix_elevated,high_rate_regime,macro_stress,net_margin_lag1,gross_margin_lag1,operating_margin_lag1,op_margin_change_lag1,de_ratio_lag1,current_ratio_lag1,net_margin_yoy,op_margin_yoy,gross_margin_yoy,margin_improving,de_ratio_change,margin_efficiency,quality_leverage,margin_macro_score,mom_vol_ratio,stress_momentum,ticker_LOW,ticker_TGT,ticker_WMT,ticker_LOW,ticker_TGT,ticker_WMT
2021-03-31,COST,0.0648946127187715,1,23.14052631578948,1.26,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,-0.058951910239877,-0.04554966036048034,-0.0017880321600144526,0.028270666013029497,0.059084484864185834,0.0,-0.013402249879396665,0.0,24.91,1.08,2.5359090909090902,0.15000000000000002,24.093196969696976,1.0,0.0,26.902800000000003,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0,0.0,0.0,0.0,0.2800834120581366,0.019171769540442873,0.0,-1.6111987011373283,-1.4684920840753362,False,False,False,False,False,False
2021-04-30,COST,0.0578952282613973,1,21.84304347826087,1.61,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0648946127187715,-0.019561342601972606,0.005508993413512731,0.07319601893197639,0.06489613992365402,1.0,0.08445595532074411,1.0,23.14052631578948,1.26,-1.7694736842105208,0.17999999999999994,23.474872408293464,0.0,0.0,29.157063157894743,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0,0.0,0.0,0.0,0.2800834120581366,0.019171769540442873,0.0,-0.26724599079837447,1.5016954933716986,False,False,False,False,False,False
2021-05-31,COST,0.0166090153840967,1,17.416190476190476,1.64,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0578952282613973,0.021279310246763928,0.013605511789147063,0.06957035576506368,0.06840182253415969,1.0,0.036615918014633375,2.0,21.84304347826087,1.61,-1.2974828375286087,0.3500000000000001,23.297856598016782,0.0,0.0,35.167300000000004,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0,0.0,0.0,0.0,0.2800834120581366,0.019171769540442873,0.0,0.3058674921632327,1.2646079880975387,False,False,False,False,False,False
2021-06-30,COST,0.0459989370974256,1,19.7605,1.62,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0166090153840967,0.04646628545475517,0.00045831254713741475,0.026092916236973438,0.0559652447426945,0.0,-0.029857270070658467,3.0,17.416190476190476,1.64,-4.426853002070395,0.029999999999999805,20.799920090080278,0.0,0.0,28.56255238095238,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0,0.0,0.0,0.0,0.2800834120581366,0.019171769540442873,0.0,1.780800774921158,0.28926577555140603,False,False,False,False,False,False
2021-07-31,COST,0.0880921541939494,1,16.956818181818182,1.52,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0459989370974256,0.04016772691430653,0.010303192156166964,0.021251825864787008,0.05825793885484742,1.0,0.005831210183119072,3.0,19.7605,1.62,2.3443095238095246,-0.019999999999999796,19.673244651483785,1.0,0.0,32.012010000000004,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0,0.0,0.0,0.0,0.2800834120581366,0.019171769540442873,0.0,1.8900835706950727,0.9089619965136786,False,False,False,False,False,False
2021-08-31,COST,0.0599694475447574,1,17.603333333333335,1.32,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0880921541939494,0.05023336889182389,0.035756339569293916,0.03592920250984186,0.05199882740326721,1.0,0.03785878530212551,3.0,16.956818181818182,1.52,-2.8036818181818184,-0.10000000000000009,18.04450288600289,0.0,0.0,25.77436363636364,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0,0.0,0.0,0.0,0.2800834120581366,0.019171769540442873,0.0,1.3981208983991167,1.493762641911492,False,False,False,False,False,False
2021-09-30,COST,-0.0134800762726087,0,17.472727272727273,1.28,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0599694475447574,0.0646868462787108,0.055576565866732985,0.021439452406605452,0.02357525842742268,0.0,-0.004717398733953396,3.0,17.603333333333335,1.32,0.6465151515151533,-0.19999999999999996,18.10688383838384,0.0,0.0,23.236400000000003,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0,0.0,0.0,0.0,0.2800834120581366,0.019171769540442873,0.0,3.0171874286668308,1.055662174946213,False,False,False,False,False,False
2021-10-31,COST,0.0956607619080553,1,19.824761904761903,1.37,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,-0.0134800762726087,0.04486050848869937,0.04251411770150295,0.05244463299554738,0.03588089342144982,0.0,-0.05834058476130807,2.0,17.472727272727273,1.28,-0.1306060606060626,-0.040000000000000036,17.344292929292934,1.0,0.0,22.36509090909091,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0,0.0,0.0,0.0,0.2800834120581366,0.019171769540442873,0.0,0.8553879763541885,-0.23553369632685384,False,False,False,False,False,False
2021-11-30,COST,0.0973268844565666,1,17.871428571428574,1.58,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0956607619080553,0.047383377726734656,0.048808373309279285,0.05564833784393366,0.04192248530331482,1.0,0.04827738418132064,2.0,19.824761904761903,1.37,2.3520346320346306,0.09000000000000008,18.300274170274175,1.0,0.0,27.15992380952381,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0,0.0,0.0,0.0,0.2800834120581366,0.019171769540442873,0.0,0.8514787604190772,1.8964518284553131,False,False,False,False,False,False
2021-12-31,COST,0.0525047329694809,1,18.50047619047619,1.56,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0973268844565666,0.05983585669733773,0.06226135148802426,0.06349892527851887,0.04247075561353231,1.0,0.03749102775922888,2.0,17.871428571428574,1.58,-1.9533333333333296,0.20999999999999996,18.389639249639252,0.0,0.0,28.236857142857147,0.025968880267448,0.1225968880267448,0.03433735470624,-0.00084856028633,0.354537473062495,1.0218138633664604,0.0,0.0,0.0,0.0,0.0,0.2800834120581366,0.019171769540442873,0.0,0.9423129042717778,1.739370463645212,False,False,False,False,False,False
